ID_pregunta,Question,Category,Subcategory,Scorekey,Cuestionario,,,
MINI-IPIP01,A menudo olvido poner las cosas en su lugar.,Personalidad,Escrupulosidad,"5,4,3,2,1",Personalidad,,,
MINI-IPIP02,Empatizo con los sentimientos de los demÃ¡s.,Personalidad,Amabilidad,"1,2,3,4,5",Personalidad,,,
MINI-IPIP03,Estoy relajado la mayor parte del tiempo.,Personalidad,Neuroticismo,"5,4,3,2,1",Personalidad,,,
MINI-IPIP04,Hablo con muchas personas diferentes en las fiestas.,Personalidad,Extraversión,"1,2,3,4,5",Personalidad,,,
MINI-IPIP05,Hago las tareas de inmediato.,Personalidad,Escrupulosidad,"1,2,3,4,5",Personalidad,,,
MINI-IPIP06,Hago un desastre de las cosas.,Personalidad,Escrupulosidad,"5,4,3,2,1",Personalidad,,,
MINI-IPIP07,Me altero con facilidad.,Personalidad,Neuroticismo,"1,2,3,4,5",Personalidad,,,
MINI-IPIP08,Me gusta el orden.,Personalidad,Escrupulosidad,"1,2,3,4,5",Personalidad,,,
MINI-IPIP09,No estoy realmente interesado en los demÃ¡s.,Personalidad,Amabilidad,"5,4,3,2,1",Personalidad,,,
MINI-IPIP10,No hablo mucho.,Personalidad,Extraversión,"5,4,3,2,1",Personalidad,,,
MINI-IPIP11,No me interesan las ideas abstractas.,Personalidad,"Intelecto,Imaginación","5,4,3,2,1",Personalidad,,,
MINI-IPIP12,No me interesan los problemas de otras personas.,Personalidad,Amabilidad,"5,4,3,2,1",Personalidad,,,
MINI-IPIP13,No tengo mucha imaginaciÃ³n.,Personalidad,"Intelecto,Imaginación","5,4,3,2,1",Personalidad,,,
MINI-IPIP14,Percibo las emociones de los demÃ¡s.,Personalidad,Amabilidad,"1,2,3,4,5",Personalidad,,,
MINI-IPIP15,Prefiero permanecer en el fondo.,Personalidad,Extraversión,"5,4,3,2,1",Personalidad,,,
MINI-IPIP16,Rara vez me siento deprimido.,Personalidad,Neuroticismo,"5,4,3,2,1",Personalidad,,,
MINI-IPIP17,Soy el alma de la fiesta.,Personalidad,Extraversión,"1,2,3,4,5",Personalidad,,,
MINI-IPIP18,Tengo cambios de humor frecuentes.,Personalidad,Neuroticismo,"1,2,3,4,5",Personalidad,,,
MINI-IPIP19,Tengo dificultades para entender ideas abstractas.,Personalidad,"Intelecto,Imaginación","5,4,3,2,1",Personalidad,,,
MINI-IPIP20,Tengo una imaginaciÃ³n viva.,Personalidad,"Intelecto,Imaginación","1,2,3,4,5",Personalidad,,,
